,pict,Tag1,qual,Tag3,Folder,indiv,sex,stage
140,20141201_id57_maladu (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,57_mal_adu,57,mal,adu
141,20141201_id57_maladu (3)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,57_mal_adu,57,mal,adu
142,20141201_id57_maladu (2)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,57_mal_adu,57,mal,adu
146,20141209_id85_maladu (2)_ORIGINAL-FACE.jpg,0FaceView0, 1FaceQualNoEval, 2FaceCatTraining,85_mal_adu,85,mal,adu
147,20141209_id85_maladu (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,85_mal_adu,85,mal,adu
148,20141209_id85_maladu (4)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,85_mal_adu,85,mal,adu
149,20141209_id85_maladu (5)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,85_mal_adu,85,mal,adu
150,20141209_id85_maladu (3)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,85_mal_adu,85,mal,adu
151,20120216_id19_femadu (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTesting,19_fem_adu,19,fem,adu
152,20120216_id4_malado (2)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,4_mal_ado,4,mal,ado
153,20120216_id19_femadu (2)_ORIGINAL-FACE.jpg,0FaceView0, 1FaceQualNoEval, 2FaceCatTesting,19_fem_adu,19,fem,adu
154,20120216_id4_malado (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,4_mal_ado,4,mal,ado
155,20120216_id40_femadu_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,40_fem_adu,40,fem,adu
156,20120216_id38_femadu_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTesting,38_fem_adu,38,fem,adu
157,20120216_id35_maladu_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,35_mal_adu,35,mal,adu
158,20120216_id80_femadu_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTesting,80_fem_adu,80,fem,adu
159,20120216_id29_femaduDERRIERE (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTesting,29_fem_adu,29,fem,adu
160,20120216_id11_malinfDEVANT_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,11_mal_inf,11,mal,inf
161,20121216_id57_malsub_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,57_mal_sub,57,mal,sub
162,20120216_id8_malado_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,8_mal_ado,8,mal,ado
163,20120403_id33_maladu (3)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,33_mal_adu,33,mal,adu
164,20120305_id8_malado (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,8_mal_ado,8,mal,ado
165,20120305_id7_femadu_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,7_fem_adu,7,fem,adu
166,20120305_id38_femaduMINI_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,38_fem_adu,38,fem,adu
167,20120305_id57_malsubMINI_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,57_mal_sub,57,mal,sub
169,20120403_id33_maladuMINI (2)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,33_mal_adu,33,mal,adu
172,20120301_id39_feamaduDERRIERE (13)_ORIGINAL-FACE.jpg,0FaceView0, 1FaceQualNoEval, 2FaceCatTesting,39_fem_adu,39,fem,adu
173,20120321_id24_malinfMINIDOUTEDATECARBBFILLE (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual0, 2FaceCatTraining,24_mal_inf,24,mal,inf
178,20120403_id33_maladu (66)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,33_mal_adu,33,mal,adu
179,20120403_id33_maladu (65)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,33_mal_adu,33,mal,adu
180,20120403_id33_maladu (64)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTraining,33_mal_adu,33,mal,adu
181,20120403_id59_feminfDEVANT (7)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,59_fem_inf,59,fem,inf
182,20120403_id59_feminfDEVANT (6)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,59_fem_inf,59,fem,inf
183,20120403_id7_femadu (15)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,7_fem_adu,7,fem,adu
184,20120403_id7_femadu (16)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTesting,7_fem_adu,7,fem,adu
185,20120403_id59_feminfDEVANT (4)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,59_fem_inf,59,fem,inf
186,20120403_id59_feminfDEVANT (3)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,59_fem_inf,59,fem,inf
187,20120403_id59_feminfDEVANT (2)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,59_fem_inf,59,fem,inf
188,20120403_id7_femadu (14)_ORIGINAL-FACE.jpg,0FaceView0, 1FaceQualNoEval, 2FaceCatTesting,7_fem_adu,7,fem,adu
189,20120403_id7_femadu (2)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,7_fem_adu,7,fem,adu
190,20120403_id59_feminfDEVANT (5)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,59_fem_inf,59,fem,inf
191,20120403_id59_feminfDEVANT (1)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTraining,59_fem_inf,59,fem,inf
192,20120403_id7_femadu (13)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,7_fem_adu,7,fem,adu
193,20120403_id7_femadu (12)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,7_fem_adu,7,fem,adu
194,20120403_id7_femadu (11)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,7_fem_adu,7,fem,adu
195,20120403_id7_femadu (10)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual2, 2FaceCatTesting,7_fem_adu,7,fem,adu
196,20120403_id7_femadu (9)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTesting,7_fem_adu,7,fem,adu
197,20120403_id7_femadu (8)_ORIGINAL-FACE.jpg,0FaceView1, 1FaceQual3, 2FaceCatTesting,7_fem_adu,7,fem,adu
